Flight	Departing	ATC	Duration	Arriving	ATC	Mon	Tue	Wed	Thu	Fri	Sat	Sun	Aircraft	Type	Book
FL250	LIRF (2005z)		03:00	EGLL (2305z)	VATSIM	Y		Y		Y		Y	A320	Scheduled	
	Rome			London	IVAO										
FL251	EGLL (0725z)	VATSIM	01:20	LFST (0845z)			Y		Y		Y		A320	Scheduled	
	London	IVAO		Strasbourg											
FL252	LFST (0930z)		01:20	EGLL (1050z)	VATSIM		Y		Y		Y		A320	Scheduled	
	Strasbourg			London	IVAO										
FL253	EGLL (1135z)	VATSIM	02:00	ESGG (1335z)	VATSIM		Y		Y		Y		A320	Scheduled	
	London	IVAO		Gothenburg	IVAO										
FL254	ESGG (1420z)	VATSIM	02:10	EGLL (1630z)	VATSIM		Y		Y		Y		A320	Scheduled	
	Gothenburg	IVAO		London	IVAO										
FL255	EGLL (1715z)	VATSIM	02:15	LPPR (1930z)			Y		Y		Y		A320	Scheduled	
	London	IVAO		Porto											
FL256	LPPR (2015z)		02:10	EGLL (2225z)	VATSIM		Y		Y		Y		A320	Scheduled	
	Porto			London	IVAO										
FL275	EGLL (0645z)	VATSIM	02:10	ENGM (0855z)	VATSIM	Y	Y	Y	Y	Y	Y	Y	A320	Scheduled	
	London	IVAO		Oslo											
FL276	ENGM (0940z)	VATSIM	02:20	EGLL (1200z)	VATSIM	Y	Y	Y	Y	Y	Y	Y	A320	Scheduled	
	Oslo			London	IVAO										
FL277	EGLL (1245z)	VATSIM	01:30	EDDF (1415z)	VATSIM	Y	Y	Y	Y	Y	Y	Y	A320	Scheduled	
	London	IVAO		Frankfurt	IVAO										
FL278	EDDF (1500z)	VATSIM	01:45	EGLL (1645z)	VATSIM	Y	Y	Y	Y	Y	Y	Y	A320	Scheduled	
	Frankfurt	IVAO		London	IVAO										
FL279	EGLL (1730z)	VATSIM	02:20	LOWW (1950z)	VATSIM	Y	Y	Y	Y	Y	Y	Y	A320	Scheduled	
	London	IVAO		Vienna	IVAO										
FL280	LOWW (2035z)	VATSIM	02:20	EGLL (2255z)	VATSIM	Y	Y	Y	Y	Y	Y	Y	A320	Scheduled	
	Vienna	IVAO		London	IVAO										
FL281	EGLL (0745z)	VATSIM	01:20	EGAA (0905z)		Y	Y	Y	Y	Y	Y	Y	A320	Scheduled	
	London	IVAO		Belfast											
FL282	EGAA (0950z)		01:20	EGLL (1110z)	VATSIM	Y	Y	Y	Y	Y	Y	Y	A320	Scheduled	
	Belfast			London	IVAO										
FL283	EGLL (1155z)	VATSIM	01:00	EGNM (1255z)		Y	Y	Y	Y	Y	Y	Y	A320	Scheduled	
	London	IVAO		Leeds Bradford											
FL284	EGNM (1340z)		01:00	EGLL (1440z)	VATSIM	Y	Y	Y	Y	Y	Y	Y	A320	Scheduled	
	Leeds Bradford			London	IVAO										
FL285	EGLL (1525z)	VATSIM	01:20	EGAA (1645z)		Y	Y	Y	Y	Y	Y	Y	A320	Scheduled	
	London	IVAO		Belfast											
FL286	EGAA (1730z)		01:20	EGLL (1850z)	VATSIM	Y	Y	Y	Y	Y	Y	Y	A320	Scheduled	
	Belfast			London	IVAO										
FL287	EGLL (1935z)	VATSIM	01:00	EGNM (2035z)		Y	Y	Y	Y	Y	Y	Y	A320	Scheduled	
	London	IVAO		Leeds Bradford											
FL288	EGNM (2120z)		01:00	EGLL (2220z)	VATSIM	Y	Y	Y	Y	Y	Y	Y	A320	Scheduled	
	Leeds Bradford			London	IVAO										
FL295	EGLL (0600z)	VATSIM	03:15	LROP (0915z)		Y	Y	Y	Y	Y	Y	Y	A320	Scheduled	
	London	IVAO		Bucharest											
FL296	LROP (1000z)		03:20	EGLL (1320z)	VATSIM	Y	Y	Y	Y	Y	Y	Y	A320	Scheduled	
	Bucharest			London	IVAO										
FL297	EGLL (1405z)	VATSIM	01:35	LFSB (1540z)	VATSIM	Y	Y	Y	Y	Y	Y	Y	A320	Scheduled	
	London	IVAO		Basel/Mulhouse	IVAO										
FL298	LFSB (1625z)	VATSIM	01:40	EGLL (1805z)	VATSIM	Y	Y	Y	Y	Y	Y	Y	A320	Scheduled	
	Basel/Mulhouse	IVAO		London	IVAO										
FL299	EGLL (1850z)	VATSIM	02:00	LEBL (2050z)		Y	Y	Y	Y	Y	Y	Y	A320	Scheduled	
	London	IVAO		Barcelona	IVAO										
FL300	LEBL (2135z)		02:20	EGLL (2355z)	VATSIM	Y	Y	Y	Y	Y	Y	Y	A320	Scheduled	
	Barcelona	IVAO		London	IVAO										
FL309	UBBB (0425z)		06:05	EGLL (1030z)	VATSIM	Y		Y		Y		Y	A320	Scheduled	
	Baku			London	IVAO										
FL310	EGLL (1115z)	VATSIM	04:50	OLBA (1605z)		Y		Y		Y		Y	A320	Scheduled	
	London	IVAO		Beirut	IVAO										
FL311	OLBA (1650z)		05:15	EGLL (2205z)	VATSIM	Y		Y		Y		Y	A320	Scheduled	
	Beirut	IVAO		London	IVAO										
FL312	EGLL (0725z)	VATSIM	01:40	LSGG (0905z)	VATSIM		Y		Y		Y		A320	Scheduled	
	London	IVAO		Geneva											
FL313	LSGG (0950z)	VATSIM	01:40	EGLL (1130z)	VATSIM		Y		Y		Y		A320	Scheduled	
	Geneva			London	IVAO										
FL314	EGLL (1215z)	VATSIM	03:50	GMMX (1605z)			Y		Y		Y		A320	Scheduled	
	London	IVAO		Marrakech											
FL315	GMMX (1650z)		03:50	EGLL (2040z)	VATSIM		Y		Y		Y		A320	Scheduled	
	Marrakech			London	IVAO										
FL316	EGLL (2125z)	VATSIM	05:40	UBBB (0305z)			Y		Y		Y		A320	Scheduled	
	London	IVAO		Baku											
FL390	EGKK (0610z)	VATSIM	01:25	EGPH (0735z)	VATSIM	Y	Y	Y	Y	Y	Y	Y	A320	Scheduled	
	London	IVAO		Edinburgh											
FL391	EGPH (0820z)	VATSIM	01:25	EGKK (0945z)	VATSIM	Y	Y	Y	Y	Y	Y	Y	A320	Scheduled	
	Edinburgh			London	IVAO										
FL392	EGKK (1030z)	VATSIM	01:25	EGPF (1155z)	VATSIM	Y	Y	Y	Y	Y	Y	Y	A320	Scheduled	
	London	IVAO		Glasgow											
FL393	EGPF (1240z)	VATSIM	01:25	EGKK (1405z)	VATSIM	Y	Y	Y	Y	Y	Y	Y	A320	Scheduled	
	Glasgow			London	IVAO										
FL394	EGKK (1450z)	VATSIM	01:25	EGPH (1615z)	VATSIM	Y	Y	Y	Y	Y	Y	Y	A320	Scheduled	
	London	IVAO		Edinburgh											
FL395	EGPH (1700z)	VATSIM	01:25	EGKK (1825z)	VATSIM	Y	Y	Y	Y	Y	Y	Y	A320	Scheduled	
	Edinburgh			London	IVAO										
FL396	EGKK (1910z)	VATSIM	01:25	EGPF (2035z)	VATSIM	Y	Y	Y	Y	Y	Y	Y	A320	Scheduled	
	London	IVAO		Glasgow											
FL397	EGPF (2120z)	VATSIM	01:25	EGKK (2245z)	VATSIM	Y	Y	Y	Y	Y	Y	Y	A320	Scheduled	
	Glasgow			London	IVAO										
FL398	EGKK (0645z)	VATSIM	01:25	EGPF (0810z)	VATSIM	Y	Y	Y	Y	Y	Y	Y	A320	Scheduled	
	London	IVAO		Glasgow											
FL399	EGPF (0840z)	VATSIM	01:25	EGKK (1005z)	VATSIM	Y	Y	Y	Y	Y	Y	Y	A320	Scheduled	
	Glasgow			London	IVAO										
FL400	EGKK (1035z)	VATSIM	01:25	EGPH (1200z)	VATSIM	Y	Y	Y	Y	Y	Y	Y	A320	Scheduled	
	London	IVAO		Edinburgh											
FL401	EGPH (1230z)	VATSIM	01:25	EGKK (1355z)	VATSIM	Y	Y	Y	Y	Y	Y	Y	A320	Scheduled	
	Edinburgh			London	IVAO										
FL402	EGKK (1425z)	VATSIM	01:20	EHAM (1545z)	VATSIM	Y	Y	Y	Y	Y	Y	Y	A320	Scheduled	
	London	IVAO		Amsterdam	IVAO										
FL403	EHAM (1615z)	VATSIM	01:20	EGKK (1735z)	VATSIM	Y	Y	Y	Y	Y	Y	Y	A320	Scheduled	
	Amsterdam	IVAO		London	IVAO										
FL404	EGKK (1805z)	VATSIM	01:00	EGJJ (1905z)	VATSIM	Y	Y	Y	Y	Y	Y	Y	A320	Scheduled	
	London	IVAO		Jersey											
FL405	EGJJ (1935z)	VATSIM	01:00	EGKK (2035z)	VATSIM	Y	Y	Y	Y	Y	Y	Y	A320	Scheduled	
	Jersey			London	IVAO										
FL406	EGKK (0715z)	VATSIM	01:05	EGCC (0820z)	VATSIM	Y	Y	Y	Y	Y	Y	Y	A320	Scheduled	
	London	IVAO		Manchester	IVAO										
FL407	EGCC (0905z)	VATSIM	01:05	EGKK (1010z)	VATSIM	Y	Y	Y	Y	Y	Y	Y	A320	Scheduled	
	Manchester	IVAO		London	IVAO										
FL408	EGKK (1055z)	VATSIM	01:20	EHAM (1215z)	VATSIM	Y	Y	Y	Y	Y	Y	Y	A320	Scheduled	
	London	IVAO		Amsterdam	IVAO										
FL409	EHAM (1300z)	VATSIM	01:20	EGKK (1420z)	VATSIM	Y	Y	Y	Y	Y	Y	Y	A320	Scheduled	
	Amsterdam	IVAO		London	IVAO										
FL410	EGKK (1505z)	VATSIM	01:05	EGCC (1610z)	VATSIM	Y	Y	Y	Y	Y	Y	Y	A320	Scheduled	
	London	IVAO		Manchester	IVAO										
FL411	EGCC (1655z)	VATSIM	01:05	EGKK (1800z)	VATSIM	Y	Y	Y	Y	Y	Y	Y	A320	Scheduled	
	Manchester	IVAO		London	IVAO										
FL412	EGKK (1845z)	VATSIM	01:05	EGCC (1950z)	VATSIM	Y	Y	Y	Y	Y	Y	Y	A320	Scheduled	
	London	IVAO		Manchester	IVAO										
FL413	EGCC (2035z)	VATSIM	01:05	EGKK (2140z)	VATSIM	Y	Y	Y	Y	Y	Y	Y	A320	Scheduled	
	Manchester	IVAO		London	IVAO										
FL414	EGKK (0715z)	VATSIM	02:35	LDDU (0950z)		Y	Y	Y	Y	Y	Y	Y	A320	Scheduled	
	London	IVAO		Dubrovnik											
FL415	LDDU (1020z)		02:50	EGKK (1310z)	VATSIM	Y	Y	Y	Y	Y	Y	Y	A320	Scheduled	
	Dubrovnik			London	IVAO										
FL416	EGKK (1340z)	VATSIM	02:00	LOWI (1540z)	VATSIM	Y	Y	Y	Y	Y	Y	Y	A320	Scheduled	
	London	IVAO		Innsbruck	IVAO										
FL417	LOWI (1610z)	VATSIM	01:55	EGKK (1805z)	VATSIM	Y	Y	Y	Y	Y	Y	Y	A320	Scheduled	
	Innsbruck	IVAO		London	IVAO										
FL418	EGKK (1835z)	VATSIM	01:55	LSZH (2030z)	VATSIM	Y	Y	Y	Y	Y	Y	Y	A320	Scheduled	
	London	IVAO		Zurich	IVAO										
FL419	LSZH (2100z)	VATSIM	01:50	EGKK (2250z)	VATSIM	Y	Y	Y	Y	Y	Y	Y	A320	Scheduled	
	Zurich	IVAO		London	IVAO										
FL420	EGKK (0745z)	VATSIM	02:00	LFMN (0945z)		Y	Y	Y	Y	Y	Y	Y	A320	Scheduled	
	London	IVAO		Nice											
FL421	LFMN (1030z)		02:00	EGKK (1230z)	VATSIM	Y	Y	Y	Y	Y	Y	Y	A320	Scheduled	
	Nice			London	IVAO										
FL422	EGKK (1315z)	VATSIM	01:35	LFBD (1450z)		Y	Y	Y	Y	Y	Y	Y	A320	Scheduled	
	London	IVAO		Bordeaux											
FL423	LFBD (1535z)		01:35	EGKK (1710z)	VATSIM	Y	Y	Y	Y	Y	Y	Y	A320	Scheduled	
	Bordeaux			London	IVAO										
FL424	EGKK (1755z)	VATSIM	02:00	LEBL (1955z)		Y	Y	Y	Y	Y	Y	Y	A320	Scheduled	
	London	IVAO		Barcelona	IVAO										
FL425	LEBL (2040z)		02:10	EGKK (2250z)	VATSIM	Y	Y	Y	Y	Y	Y	Y	A320	Scheduled	
	Barcelona	IVAO		London	IVAO										
FL426	EGKK (0605z)	VATSIM	02:00	LEBL (0805z)		Y	Y	Y	Y	Y	Y	Y	A320	Scheduled	
	London	IVAO		Barcelona	IVAO										
FL427	LEBL (0850z)		02:10	EGKK (1100z)	VATSIM	Y	Y	Y	Y	Y	Y	Y	A320	Scheduled	
	Barcelona	IVAO		London	IVAO										
FL428	EGKK (1145z)	VATSIM	02:50	LPFR (1435z)	VATSIM	Y	Y	Y	Y	Y	Y	Y	A320	Scheduled	
	London	IVAO		Faro											
FL429	LPFR (1520z)	VATSIM	02:50	EGKK (1810z)	VATSIM	Y	Y	Y	Y	Y	Y	Y	A320	Scheduled	
	Faro			London	IVAO										
FL430	EGKK (1855z)	VATSIM	01:50	LEBB (2045z)		Y	Y	Y	Y	Y	Y	Y	A320	Scheduled	
	London	IVAO		Bilbao	IVAO										
FL431	LEBB (2130z)		01:50	EGKK (2320z)	VATSIM	Y	Y	Y	Y	Y	Y	Y	A320	Scheduled	
	Bilbao	IVAO		London	IVAO										
FL432	EGKK (0705z)	VATSIM	02:00	ENGM (0905z)	VATSIM	Y	Y	Y	Y	Y	Y	Y	A320	Scheduled	
	London	IVAO		Oslo											
FL433	ENGM (0950z)	VATSIM	02:00	EGKK (1150z)	VATSIM	Y	Y	Y	Y	Y	Y	Y	A320	Scheduled	
	Oslo			London	IVAO										
FL434	EGKK (1235z)	VATSIM	02:05	LIPZ (1440z)		Y	Y	Y	Y	Y	Y	Y	A320	Scheduled	
	London	IVAO		Venice	IVAO										
FL435	LIPZ (1525z)		02:05	EGKK (1730z)	VATSIM	Y	Y	Y	Y	Y	Y	Y	A320	Scheduled	
	Venice	IVAO		London	IVAO										
FL436	EGKK (1815z)	VATSIM	02:00	LFMN (2015z)		Y	Y	Y	Y	Y	Y	Y	A320	Scheduled	
	London	IVAO		Nice											
FL437	LFMN (2100z)		02:00	EGKK (2300z)	VATSIM	Y	Y	Y	Y	Y	Y	Y	A320	Scheduled	
	Nice			London	IVAO										
FL438	EGKK (0605z)	VATSIM	03:40	GMMX (0945z)		Y		Y		Y		Y	A320	Scheduled	
	London	IVAO		Marrakech											
FL439	GMMX (1030z)		03:40	EGKK (1410z)	VATSIM	Y		Y		Y		Y	A320	Scheduled	
	Marrakech			London	IVAO										
FL440	EGKK (1455z)	VATSIM	02:45	EVRA (1740z)		Y	Y	Y	Y	Y	Y	Y	A320	Scheduled	
	London	IVAO		Riga											
FL441	EVRA (1825z)		02:50	EGKK (2115z)	VATSIM	Y	Y	Y	Y	Y	Y	Y	A320	Scheduled	
	Riga			London	IVAO										
FL442	EGKK (0620z)	VATSIM	03:15	ENTC (0935z)			Y		Y		Y		A320	Scheduled	
	London	IVAO		Tromso											
FL443	ENTC (1020z)		03:45	EGKK (1405z)	VATSIM		Y		Y		Y		A320	Scheduled	
	Tromso			London	IVAO										
FL444	EGKK (0645z)	VATSIM	02:05	LIPX (0850z)		Y	Y	Y	Y	Y	Y	Y	A320	Scheduled	
	London	IVAO		Verona											
FL445	LIPX (0930z)		02:05	EGKK (1135z)	VATSIM	Y	Y	Y	Y	Y	Y	Y	A320	Scheduled	
	Verona			London	IVAO										
FL446	EGKK (1215z)	VATSIM	02:05	LOWG (1420z)		Y	Y	Y	Y	Y	Y	Y	A320	Scheduled	
	London	IVAO		Graz	IVAO										
FL447	LOWG (1505z)		02:05	EGKK (1710z)	VATSIM	Y	Y	Y	Y	Y	Y	Y	A320	Scheduled	
	Graz	IVAO		London	IVAO										
FL448	EGKK (1755z)	VATSIM	02:00	LEBB (1955z)			Y		Y		Y		A320	Scheduled	
	London	IVAO		Bilbao	IVAO										
FL449	LEBB (2040z)		02:00	EGKK (2240z)	VATSIM		Y		Y		Y		A320	Scheduled	
	Bilbao	IVAO		London	IVAO										
FL450	EGKK (1755z)	VATSIM	02:20	LPPR (2015z)		Y		Y		Y		Y	A320	Scheduled	
	London	IVAO		Porto											
FL451	LPPR (2100z)		02:20	EGKK (2320z)	VATSIM	Y		Y		Y		Y	A320	Scheduled	
	Porto			London	IVAO										
FL452	EGKK (0605z)	VATSIM	02:35	LIRN (0840z)		Y	Y	Y	Y	Y	Y	Y	A320	Scheduled	
	London	IVAO		Naples											
FL453	LIRN (0925z)		02:50	EGKK (1215z)	VATSIM	Y	Y	Y	Y	Y	Y	Y	A320	Scheduled	
	Naples			London	IVAO										
FL454	EGKK (1300z)	VATSIM	02:10	LIRQ (1510z)		Y	Y	Y	Y	Y	Y	Y	A320	Scheduled	
	London	IVAO		Florence											
FL455	LIRQ (1555z)		02:20	EGKK (1815z)	VATSIM	Y	Y	Y	Y	Y	Y	Y	A320	Scheduled	
	Florence			London	IVAO										
FL456	EGKK (1900z)	VATSIM	02:15	LEAL (2115z)		Y	Y	Y	Y	Y	Y	Y	A320	Scheduled	
	London	IVAO		Alicante	IVAO										
FL457	LEAL (2200z)		02:15	EGKK (0015z)	VATSIM	Y	Y	Y	Y	Y	Y	Y	A320	Scheduled	
	Alicante	IVAO		London	IVAO										
FL458	EGKK (0705z)	VATSIM	02:15	EPWR (0920z)		Y	Y	Y	Y	Y	Y	Y	A320	Scheduled	
	London	IVAO		Wroclaw											
FL459	EPWR (1005z)		02:15	EGKK (1220z)	VATSIM	Y	Y	Y	Y	Y	Y	Y	A320	Scheduled	
	Wroclaw			London	IVAO										
FL460	EGKK (1305z)	VATSIM	01:45	LIMF (1450z)		Y	Y	Y	Y	Y	Y	Y	A320	Scheduled	
	London	IVAO		Turin											
FL461	LIMF (1535z)		01:55	EGKK (1730z)	VATSIM	Y	Y	Y	Y	Y	Y	Y	A320	Scheduled	
	Turin			London	IVAO										
FL462	EGKK (1810z)	VATSIM	02:00	ENGM (2010z)	VATSIM	Y	Y	Y	Y	Y	Y	Y	A320	Scheduled	
	London	IVAO		Oslo											
FL463	ENGM (2055z)	VATSIM	02:00	EGKK (2255z)	VATSIM	Y	Y	Y	Y	Y	Y	Y	A320	Scheduled	
	Oslo			London	IVAO										
FL464	EGKK (0645z)	VATSIM	02:50	LEMG (0935z)		Y	Y	Y	Y	Y	Y	Y	A320	Scheduled	
	London	IVAO		Malaga	IVAO										
FL465	LEMG (1005z)		02:40	EGKK (1245z)	VATSIM	Y	Y	Y	Y	Y	Y	Y	A320	Scheduled	
	Malaga	IVAO		London	IVAO										
FL466	EGKK (1315z)	VATSIM	02:00	LJLJ (1515z)		Y	Y	Y	Y	Y	Y	Y	A320	Scheduled	
	London	IVAO		Ljubljana	IVAO										
FL467	LJLJ (1545z)		02:00	EGKK (1745z)	VATSIM	Y	Y	Y	Y	Y	Y	Y	A320	Scheduled	
	Ljubljana	IVAO		London	IVAO										
FL468	EGKK (1815z)	VATSIM	02:00	LOWS (2015z)	VATSIM	Y	Y	Y	Y	Y	Y	Y	A320	Scheduled	
	London	IVAO		Salzburg	IVAO										
FL469	LOWS (2045z)	VATSIM	02:00	EGKK (2245z)	VATSIM	Y	Y	Y	Y	Y	Y	Y	A320	Scheduled	
	Salzburg	IVAO		London	IVAO										
FL470	EGKK (0605z)	VATSIM	02:15	LEPA (0820z)		Y	Y	Y	Y	Y	Y	Y	A320	Scheduled	
	London	IVAO		Palma	IVAO										
FL471	LEPA (0850z)		02:35	EGKK (1125z)	VATSIM	Y	Y	Y	Y	Y	Y	Y	A320	Scheduled	
	Palma	IVAO		London	IVAO										
FL472	EGKK (1155z)	VATSIM	02:25	LEMD (1420z)	VATSIM	Y	Y	Y	Y	Y	Y	Y	A320	Scheduled	
	London	IVAO		Madrid	IVAO										
FL473	LEMD (1450z)	VATSIM	02:20	EGKK (1710z)	VATSIM	Y	Y	Y	Y	Y	Y	Y	A320	Scheduled	
	Madrid	IVAO		London	IVAO										
FL474	EGKK (1740z)	VATSIM	02:15	LEPA (1955z)		Y	Y	Y	Y	Y	Y	Y	A320	Scheduled	
	London	IVAO		Palma	IVAO										
FL475	LEPA (2025z)		02:35	EGKK (2300z)	VATSIM	Y	Y	Y	Y	Y	Y	Y	A320	Scheduled	
	Palma	IVAO		London	IVAO										
FL476	EGKK (0720z)	VATSIM	04:00	LPMA (1120z)			Y		Y		Y		A320	Scheduled	
	London	IVAO		Madeira											
FL477	LPMA (1205z)		03:50	EGCC (1555z)	VATSIM		Y		Y		Y		A320	Scheduled	
	Madeira			Manchester	IVAO										
FL478	EGKK (1640z)	VATSIM	02:20	LIEO (1900z)			Y		Y		Y		A320	Scheduled	
	London	IVAO		Olbia											
FL479	LIEO (1945z)		02:20	EGKK (2205z)	VATSIM		Y		Y		Y		A320	Scheduled	
	Olbia			London	IVAO										
FL480	EGKK (0610z)	VATSIM	02:40	LYBE (0850z)		Y		Y		Y		Y	A320	Scheduled	
	London	IVAO		Belgrade	IVAO										
FL481	LYBE (0920z)		02:40	EGKK (1200z)	VATSIM	Y		Y		Y		Y	A320	Scheduled	
	Belgrade	IVAO		London	IVAO										
FL482	EGKK (1230z)	VATSIM	02:05	LEAS (1435z)		Y		Y		Y		Y	A320	Scheduled	
	London	IVAO		Asturias	IVAO										
FL483	LEAS (1505z)		02:05	EGKK (1710z)	VATSIM	Y		Y		Y		Y	A320	Scheduled	
	Asturias	IVAO		London	IVAO										
FL484	EGKK (1740z)	VATSIM	02:50	EETN (2030z)		Y		Y		Y		Y	A320	Scheduled	
	London	IVAO		Tallin											
FL485	EETN (2100z)		02:50	EGLL (2350z)	VATSIM	Y		Y		Y		Y	A320	Scheduled	
	Tallin			London	IVAO										
FL486	EGKK (0650z)	VATSIM	01:40	EDDP (0830z)	VATSIM	Y	Y	Y	Y	Y	Y	Y	A320	Scheduled	
	London	IVAO		Leipzig	IVAO										
FL487	EDDP (0900z)	VATSIM	01:40	EGKK (1040z)	VATSIM	Y	Y	Y	Y	Y	Y	Y	A320	Scheduled	
	Leipzig	IVAO		London	IVAO										
FL488	EGKK (1110z)	VATSIM	01:00	EGJJ (1210z)	VATSIM	Y	Y	Y	Y	Y	Y	Y	A320	Scheduled	
	London	IVAO		Jersey											
FL489	EGKK (1240z)	VATSIM	01:00	EGJJ (1340z)	VATSIM	Y	Y	Y	Y	Y	Y	Y	A320	Scheduled	
	London	IVAO		Jersey											
FL490	EGKK (1410z)	VATSIM	01:40	EKBI (1550z)		Y	Y	Y	Y	Y	Y	Y	A320	Scheduled	
	London	IVAO		Billund											
FL491	EKBI (1620z)		01:40	EGKK (1800z)	VATSIM	Y	Y	Y	Y	Y	Y	Y	A320	Scheduled	
	Billund			London	IVAO										
FL492	EGKK (1830z)	VATSIM	02:05	LIMJ (2035z)		Y	Y	Y	Y	Y	Y	Y	A320	Scheduled	
	London	IVAO		Genoa											
FL493	LIMJ (2105z)		02:00	EGKK (2305z)	VATSIM	Y	Y	Y	Y	Y	Y	Y	A320	Scheduled	
	Genoa			London	IVAO										
FL6115	NZAA (1700z)	VATSIM	02:10	NZDN (1910z)		Y	Y	Y	Y	Y	Y	Y	A320	Topa Sky	
	Auckland			Dunedin											
FL6116	NZDN (1940z)		02:05	NZAA (2145z)	VATSIM	Y	Y	Y	Y	Y	Y	Y	A320	Topa Sky	
	Dunedin			Auckland											
FL6117	NZAA (2215z)	VATSIM	03:10	NWWW (0125z)		Y		Y		Y		Y	A320	Topa Sky	
	Auckland			Noumea											
FL6118	NWWW (0155z)		03:00	NZAA (0455z)	VATSIM	Y		Y		Y		Y	A320	Topa Sky	
	Noumea			Auckland											
FL6119	NZAA (2215z)	VATSIM	04:10	NCRG (0225z)			Y		Y		Y		A320	Topa Sky	
	Auckland			Avarua											
FL6120	NCRG (0255z)		04:45	NZAA (0740z)	VATSIM		Y		Y		Y		A320	Topa Sky	
	Avarua			Auckland											
FL6121	NZAA (0525z)	VATSIM	02:10	NZQN (0735z)		Y		Y		Y		Y	A320	Topa Sky	
	Auckland			Queenstown											
FL6122	NZQN (0805z)		02:00	NZAA (1005z)	VATSIM	Y		Y		Y		Y	A320	Topa Sky	
	Queenstown			Auckland											
FL6123	NZAA (0810z)	VATSIM	02:10	NZQN (1020z)			Y		Y		Y		A320	Topa Sky	
	Auckland			Queenstown											
FL6124	NZQN (1050z)		02:00	NZAA (1250z)	VATSIM		Y		Y		Y		A320	Topa Sky	
	Queenstown			Auckland											
FL6125	NZAA (1730z)	VATSIM	03:45	YSSY (2115z)		Y	Y	Y	Y	Y	Y	Y	A320	Topa Sky	
	Auckland			Sydney											
FL6126	YSSY (2145z)		03:10	NZAA (0055z)	VATSIM	Y	Y	Y	Y	Y	Y	Y	A320	Topa Sky	
	Sydney			Auckland											
FL6127	NZAA (0125z)	VATSIM	05:35	YBCS (0700z)		Y	Y	Y	Y	Y	Y	Y	A320	Topa Sky	
	Auckland			Cairns											
FL6128	YBCS (0730z)		04:55	NZAA (1225z)	VATSIM	Y	Y	Y	Y	Y	Y	Y	A320	Topa Sky	
	Cairns			Auckland											
FL6129	NZAA (1255z)	VATSIM	01:25	NZWN (1420z)		Y	Y	Y	Y	Y	Y	Y	A320	Topa Sky	
	Auckland			Wellington											
FL6130	NZWN (1450z)		01:25	NZCH (1615z)		Y	Y	Y	Y	Y	Y	Y	A320	Topa Sky	
	Wellington			Christchurch											
FL6131	NZWN (1645z)		04:00	YSCB (2045z)		Y	Y	Y	Y	Y	Y	Y	A320	Topa Sky	
	Wellington			Canberra											
